Course,Course Title,Units,Sec,Bldg/Room,Days,Begin,Teaching Location,End,Delivery Mode,Instructor,
15050,Study Abroad,0,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,Remote only,"Cortina, Thomas",
15090,Computer Science Practicum,3,A,TBA,TBA,TBA,"Pittsburgh, Pennsylvania",DNM,Remote only,"Stehlik, Mark",
15104,Introduction to Computing for Creative Practice,10,Lec 1,HH B131,MWF,09:00AM,"Pittsburgh, Pennsylvania",09:50AM,In-person Expectation,"Cortina, Thomas",
,,,A,GHC 5210,T,08:00AM,"Pittsburgh, Pennsylvania",09:20AM,In-person Expectation,"Cortina, Thomas",
,,,B,GHC 5210,T,09:30AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Cortina, Thomas",
,,,C,GHC 5210,T,11:00AM,"Pittsburgh, Pennsylvania",12:20PM,In-person Expectation,"Cortina, Thomas",
,,,E,GHC 5210,T,07:00PM,"Pittsburgh, Pennsylvania",08:20PM,In-person Expectation,"Cortina, Thomas",
15110,Principles of Computing,10,Lec 1,HOA 160,MWF,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,A,GHC 5208,R,09:00AM,"Pittsburgh, Pennsylvania",09:50AM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,B,GHC 5208,R,10:00AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,C,GHC 5208,R,11:00AM,"Pittsburgh, Pennsylvania",11:50AM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,D,GHC 5208,R,12:00PM,"Pittsburgh, Pennsylvania",12:50PM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,E,GHC 5208,R,01:00PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,F,GHC 5208,R,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,G,GHC 5208,R,03:00PM,"Pittsburgh, Pennsylvania",03:50PM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,H,GHC 5208,R,04:00PM,"Pittsburgh, Pennsylvania",04:50PM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,Lec 2,HOA 160,MWF,03:00PM,"Pittsburgh, Pennsylvania",03:50PM,In-person Expectation,"Taylor, Michael","Ware, Ranysha"
,,,I,GHC 5210,R,09:00AM,"Pittsburgh, Pennsylvania",09:50AM,In-person Expectation,"Ware, Ranysha","Taylor, Michael"
,,,J,GHC 5210,R,10:00AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Ware, Ranysha","Taylor, Michael"
,,,K,GHC 5210,R,11:00AM,"Pittsburgh, Pennsylvania",11:50AM,In-person Expectation,"Ware, Ranysha","Taylor, Michael"
,,,L,GHC 5210,R,12:00PM,"Pittsburgh, Pennsylvania",12:50PM,In-person Expectation,"Ware, Ranysha","Taylor, Michael"
,,,M,GHC 5210,R,01:00PM,"Pittsburgh, Pennsylvania",01:50PM,In-person Expectation,"Ware, Ranysha","Taylor, Michael"
,,,N,GHC 5210,R,02:00PM,"Pittsburgh, Pennsylvania",02:50PM,In-person Expectation,"Ware, Ranysha","Taylor, Michael"
,,,O,GHC 5210,R,03:00PM,"Pittsburgh, Pennsylvania",03:50PM,In-person Expectation,"Ware, Ranysha","Taylor, Michael"
,,,P,GHC 5210,R,04:00PM,"Pittsburgh, Pennsylvania",04:50PM,In-person Expectation,"Ware, Ranysha","Taylor, Michael"
,,,Lec 3,CMB 2152,MW,08:30AM,"Doha, Qatar",09:45AM,In-person Expectation,"Di Caro, Gianni",
,,,W,CMB 1185,R,11:30AM,"Doha, Qatar",12:45PM,In-person Expectation,"Di Caro, Gianni",
15112,Fundamentals of Programming and Computer Science,12,Lec 1,CUC MCCNMY,TR,09:30AM,"Pittsburgh, Pennsylvania",10:50AM,In-person Expectation,"Kosbie, David",
,,,A,WEH 4625,W,09:00AM,"Pittsburgh, Pennsylvania",09:50AM,In-person Expectation,"Kosbie, David",
